,charter_id,name,city,state,url
150,930,AMNH EMPLOYEES,NEW YORK,NY,
151,932,OTEEN V. A.,ASHEVILLE,NC,http://www.oteencreditunion.com
152,943,SOMERVILLE MASS FIREFIGHTERS,SOMERVILLE,MA,
153,946,MUSKOGEE,MUSKOGEE,OK,http://www.mfcuonline.org
154,948,NUSENDA,ALBUQUERQUE,NM,http://www.nusenda.org
155,951,POSTAL FAMILY,FARGO,ND,http://www.postalfamilyfcu.com
156,960,PACIFIC CREST,KLAMATH FALLS,OR,https://www.mypcfcu.org
157,964,SOUTHWEST,Albuquerque,NM,http://www.sfcunm.org
158,967,GOLD COAST,PALM SPRINGS,FL,http://www.GCFCU.ORG
159,986,URE,East Pittsburgh,PA,http://urefcu.org
160,988,AUBURN COMMUNITY,AUBURN,NY,http://www.auburnfcu.com
161,1000,SIERRA PACIFIC,RENO,NV,http://www.sierrapacificfcu.org
162,1015,NORTH JERSEY,Totowa,NJ,http://www.njfcu.org
163,1021,FIRST FINANCIAL,Freehold,NJ,http://www.firstffcu.com
164,1022,SOUTH CAROLINA,NORTH CHARLESTO,SC,http://www.scfederal.org
165,1034,OLIVE VIEW EMPLOYEES,SYLMAR,CA,http://www.OliveViewFCU.com
166,1040,CAPITAL EDUCATORS,MERIDIAN,ID,http://www.capedcu.com
167,1049,MEMBERSFIRST CT,MERIDEN,CT,http://MembersFirstCTFCU.com
168,1059,GRAND CENTRAL TERMINAL EMPLOYEES,NEW YORK,NY,
169,1068,COMPASS FINANCIAL,Medley,FL,http://www.compassffcu.org
170,1074,FARMERS INSURANCE,Burbank,CA,http://www.figfcu.com
171,1077,TOBACCO VALLEY TEACHERS,Enfield,CT,http://www.tvtfcu.org
172,1080,DISTRICT #6,Hornell,NY,http://www.district6fcu.com
173,1086,SUWANNEE RIVER,LIVE OAK,FL,http://www.suwanneeriverfcu.com
174,1108,CENTRAL JERSEY,WOODBRIDGE,NJ,http://www.cjfcu.org
175,1111,LOCOMOTIVE & CONTROL EMPLOYEES,Erie,PA,https://www.locomotivecontrolefcu.c
176,1113,CORRECTIONAL WORKERS,EL RENO,OK,http://www.cw-fcu.com
177,1115,COASTLINE,Jacksonville,FL,https://www.coastlinefcu.org
178,1117,WIDGET,Erie,PA,https://www.widgetfinancial.com
179,1125,VAN CORTLANDT COOPERATIVE,BRONX,NY,http://www.vccfcu.com
180,1127,SALEM VA MEDICAL CENTER,Salem,VA,https://www.salemvafcu.org
181,1129,MOPAC EMPLOYEES,Palestine,TX,http://www.mopaccu.com
182,1130,LONGVIEW,White Oak,TX,
183,1131,ESSEX COUNTY TEACHERS,BLOOMFIELD,NJ,http://www.ectcu.org
184,1133,TRADEMARK,Augusta,ME,HTTP://WWW.TRADEMARKFCU.ORG
185,1134,CO-OPERATIVE,WOODRIDGE,NY,http://WWW.COOPFEDERAL.COM
186,1148,COREPLUS,Norwich,CT,http://www.coreplus.org
187,1157,BUFFALO POLICE,Buffalo,NY,http://www.buffalopolicefcu.org
188,1166,1166,Swedesboro,NJ,http://www.1166fcu.org
189,1167,FORT BILLINGS,GIBBSTOWN,NJ,http://www.fortbillings.org
190,1172,CORNER POST,Wilkes Barre,PA,http://www.cornerpostfcu.org
191,1199,BMI,Dublin,OH,http://www.bmifcu.org
192,1204,RANCHO,DOWNEY,CA,http://www.ranchofcu.org
193,1207,LOS ANGELES,Glendale,CA,http://www.lafcu.org
194,1236,CAMBRIDGE FIREFIGHTERS,Cambridge,MA,http://www.cambridgefirefcu.org
195,1239,PITTSBURGH CITY HALL EMPLOYEES,Pittsburgh,PA,https://www.pche-fcu.org
196,1245,COTTON BELT,PINE BLUFF,AR,https://www.pbcbcu.org
197,1248,FORT SMITH TEACHERS,FORT SMITH,AR,
198,1251,NEW CENTURY,Joliet,IL,http://www.newcenturyfcu.org
199,1257,BATON ROUGE FIRE DEPARTMENT,Baton Rouge,LA,http://brfdfcu.com
200,1261,LANGLEY,Newport News,VA,https://www.langleyfcu.org
201,1263,EVANSVILLE FIREFIGHTERS,EVANSVILLE,IN,http://www.evffcu.info
202,1273,STATE FARM,Bloomington,IL,http://www.statefarmfcu.com
203,1282,RICHMOND HERITAGE,Richmond,VA,http://www.richheritage.org
204,1309,CROSSPOINT,Hamden,CT,http://www.crosspointfcu.org
205,1339,BAKERSFIELD CITY EMPLOYEES,BAKERSFIELD,CA,http://www.bakcityefcu.org
206,1343,EMPIRT 207,new york,NY,https://www.amimembernet.com/efcu/l
207,1344,NORTHERN VALLEY,Grand Forks,ND,http://www.northernvalleyfcu.com
208,1351,MERCER COUNTY NJ TEACHERS,HAMILTON SQUARE,NJ,http://www.mcnjtfcu.org
209,1352,CENTURY HERITAGE,PITTSBURGH,PA,https://chfcu.org
210,1364,U S #1364,MERRILLVILLE,IN,http://WWW.USFEDERALCU.ORG
211,1367,UNIVERSITY,AUSTIN,TX,http://www.ufcu.org
212,1397,EDISTO,ORANGEBURG,SC,https://www.edistofederalcu.org
213,1399,PITNEY BOWES EMPLOYEES,Shelton,CT,http://www.pbefcu.net
214,1401,HEREFORD TEXAS,Hereford,TX,http://www.htfcu.com
215,1404,NASSAU FINANCIAL,East Meadow,NY,http://www.nassaufinancial.org
216,1407,DEMOCRACY,Alexandria,VA,http://www.democracyfcu.org
217,1409,RAIZ,EL PASO,TX,http://www.raiz.us
218,1410,MIDSOUTH COMMUNITY,Macon,GA,http://www.midsouthfcu.org
219,1427,MIDWEST AMERICA,Fort Wayne,IN,https://www.mwafcu.org
220,1438,LONG BEACH CITY EMPLOYEES,Signal Hill,CA,https://www.lbcefcu.org
221,1454,MERCK EMPLOYEES,RAHWAY,NJ,http://WWW.MERCKCU.COM
222,1457,FINANS,HAMMOND,IN,http://www.finansfcu.org
223,1461,LEOMINSTER EMPLOYEES,LEOMINSTER,MA,HTTP://WWW.LEOMEFCU.ORG
224,1463,APPALACHIAN POWER EMPLOYEES,HUNTINGTON,WV,http://www.appalachianpowerefcu.vir
225,1472,PALMETTO CITIZENS,COLUMBIA,SC,http://www.palmettocitizens.org
226,1476,ERIE,Erie,PA,http://www.eriefcu.org
227,1493,F & A,MONTEREY PARK,CA,http://WWW.FAFCU.ORG
228,1499,PUEBLO GOVERNMENT AGENCIES,Pueblo,CO,http://www.pgafcu.org
229,1509,ALCOA TENN,Alcoa,TN,https://www.atfcu.com
230,1520,TENNESSEE VALLEY,Chattanooga,TN,http://www.tvfcu.com
231,1542,GNC COMMUNITY,New Castle,PA,http://www.gncfcu.com
232,1546,MERCER COUNTY IMPROVEMENT AUTHORITY,HAMILTON,NJ,
233,1558,KERR COUNTY,Kerrville,TX,https://www.kerrcountyfcu.com
234,1584,MEMBERS TRUST OF THE SOUTHWEST,HOUSTON,TX,https://www.mtfcu.coop
235,1599,MCDONALD COMMUNITY,MC DONALD,OH,
236,1601,U S PIPE BESSEMER EMPLOYEES,Bessemer,AL,
237,1607,BIG ISLAND,HILO,HI,https://www.bigislandfcu.com
238,1621,HOMETOWN,PERU,IN,http://www.hometownfcu.org
239,1644,CORNING,Corning,NY,http://www.corningcu.org
240,1646,CLAIRTON WORKS,Clairton,PA,http://www.clairtonworksfcu.com
241,1658,WHEATLAND,LANCASTER,PA,http://www.wheatlandcu.com
242,1660,EATON EMPLOYEES,Denver,CO,
243,1665,NEW ORLEANS PUBLIC BELT RAILROAD,METAIRIE,LA,
244,1669,SARCO,BETHLEHEM,PA,http://sarcofcu.org
245,1682,LIBERTY,Evansville,IN,https://www.Libertyfcu.org
246,1717,HAWAIIAN FINANCIAL,Honolulu,HI,http://www.hificu.com
247,1718,HAWAII STATE,Honolulu,HI,https://www.hawaiistatefcu.com
248,1719,HAWAII COMMUNITY,Kailua Kona,HI,http://www.hicommfcu.com
249,1725,MONROE TELCO,West Monroe,LA,http://www.monroetelcofcu.org
250,1726,BATON ROUGE TELCO,Baton Rouge,LA,https://www.brtelco.org
251,1729,ENFIELD COMMUNITY,ENFIELD,CT,http://www.enfieldcommunityfcu.org
252,1733,HICKAM,Pearl City,HI,https://www.hickamfcu.org
253,1739,MILE HIGH,BUTTE,MT,http://www.milehighfcu.org
254,1750,COSDEN,BIG SPRING,TX,http://www.cosden.org
255,1759,INSPIRE,Newtown,PA,https://www.inspirefcu.org
256,1784,HAWAII COUNTY EMPLOYEES,Hilo,HI,http://www.hawaiicountyfcu.com
257,1785,HAWAII SCHOOLS,Honolulu,HI,http://www.hawaiischoolsfcu.org
258,1788,NORDSTROM,Everett,WA,http://www.nordcu.org
259,1792,EVOLVE,EL PASO,TX,http://WWW.evolveFCU.ORG
260,1810,ROME,Rome,NY,https://www.romefcu.com/
261,1815,HAWAIIUSA,Honolulu,HI,http://www.hawaiiusafcu.com
262,1817,MAUI TEACHERS,Wailuku,HI,http://www.mauiteachersfcu.com
263,1821,DISTRICT OF COLUMBIA TEACHERS,Washington,DC,http://www.dctfcu.org
264,1827,MINT VALLEY,LONGVIEW,WA,http://www.mintvalleyfcu.org
265,1829,HFS,HILO,HI,https://WWW.HFSFCU.ORG
266,1830,HONOLULU,Honolulu,HI,http://www.myhocu.com
267,1838,FORT BAYARD,SILVER CITY,NM,http://fortbayardfcu.org
268,1845,ALOHA PACIFIC,Honolulu,HI,https://www.alohapacific.com
269,1851,UTILITY EMPLOYEES,HOQUIAM,WA,http://uefcuonline.com
270,1866,MAUI COUNTY,Wailuku,HI,http://www.mauicountyfcu.org
271,1869,HAWAIIAN ELECTRIC EMPLOYEES,HONOLULU,HI,http://www.hecoefcu.org
272,1870,HAWAII LAW ENFORCEMENT,Honolulu,HI,http://www.hlefcu.com
273,1879,TEXAS COMMUNITY,KINGSVILLE,TX,https://www.texasfcu.org
274,1880,HONOLULU FIRE DEPARTMENT,Honolulu,HI,http://www.hfdfcu.org
275,1882,TITAN,PLEASANT GAP,PA,http://www.titanfcu.com
276,1888,ASPIRE COMMUNITY,MINOT,ND,https://www.aspire.creditunion
277,1904,UNIVERSITY,Grand Forks,ND,http://www.universityfederalcu.org
278,1909,SANTA BARBARA TEACHERS,Santa Barbara,CA,http://www.sbtfcu.org
279,1911,MON VALLEY COMMUNITY,ALLENPORT,PA,http://www.mvcfcu.com
280,1941,SHELL,Deer Park,TX,http://www.shellfcu.org
281,1961,PEARL HAWAII,WAIPAHU,HI,http://www.pearlhawaii.com
282,1969,EDUCATION PERSONNEL,Danville,IL,http://www.educationpersonnelfcu.co
283,1982,CENTRIC,West Monroe,LA,http://www.mycentric.org
284,1987,EWA,Ewa Beach,HI,http://www.ewafcu.com
285,1992,MCKEESPORT CONGREGATIONAL,McKeesport,PA,
286,1999,LOGIX,Valencia,CA,http://www.logixbanking.com
287,2003,MCKEESPORT AREA PUBLIC SCHOOL EMP,MCKEESPORT,PA,
288,2008,REMINGTON,Ilion,NY,http://remingtonfcu.com
289,2021,TEANECK,TEANECK,NJ,http://TEANECKFCU.COM
290,2024,LA FINANCIAL,Arcadia,CA,https://www.lafinancial.org
291,2046,PAMPA TEACHERS,Pampa,TX,http://www.ptfcu-tx.com
292,2049,WAIALUA,Waialua,HI,http://www.waialuafcu.com
293,2051,LA PORTE COMMUNITY,LA PORTE,IN,http://www.laportecfcu.com
294,2056,SEWERAGE & WATER BOARD EMPLOYEES,New Orleans,LA,http://www.swbfcu.com
295,2065,LOWELL MUNICIPAL EMPLOYEES,Lowell,MA,http://www.lmefcu.net
296,2068,SOUTHERN TEACHERS & PARENTS,BATON ROUGE,LA,http://www.stpfcu.com
297,2098,ALIQUIPPA TEACHERS,Aliquippa,PA,
298,2099,CITADEL,EXTON,PA,http://www.citadelbanking.com
299,2112,WICHITA FALLS TEACHERS,Wichita Falls,TX,http://www.wftfcu.com
300,2115,ONE SOURCE,EL PASO,TX,http://www.onesourcefcu.org
301,2127,WEST HUDSON TEACHERS,North Arlington,NJ,
302,2131,PRIMEWAY,Houston,TX,https://www.primewayfcu.com
303,2141,CAMPBELL,Maple Shade,NJ,http://www.campbellcu.org
304,2155,HOBOKEN SCHOOL EMPLOYEES,HOBOKEN,NJ,http://WWW.HSEFCU.COOP
305,2157,TUCSON,TUCSON,AZ,http://www.tucsonfcu.com
306,2158,NATURAL RESOURCES CONSERVATION SERV,Fort Worth,TX,http://www.nrcscreditunion.org
307,2168,MANVILLE AREA,MANVILLE,NJ,http://www.manville.org
308,2182,GREATER ALLIANCE,Paramus,NJ,http://www.greateralliance.org
309,2187,DEXSTA,Wilmington,DE,http://www.dexsta.com
310,2191,FIBRE,LONGVIEW,WA,http://www.fibrecu.com
311,2208,UTICA POLICE DEPARTMENT,UTICA,NY,
312,2209,BUFFALO METROPOLITAN,BUFFALO,NY,http://www.bflometrocu.org
313,2226,SUNWEST,Glendale,AZ,http://www.mysunwest.com
314,2227,EMPORIA STATE,EMPORIA,KS,https://www.esfcu.com
315,2237,CALCOE,YAKIMA,WA,http://www.calcoefcu.com
316,2246,PARLIN DUPONT EMPLOYEES,Sayreville,NJ,http://WWW.PARLINDUPONTEFCU.COM
317,2252,UTICA GAS & ELECTRIC EMP,NEW HARTFORD,NY,https://www.ugefcu.com
318,2260,UNION PACIFIC STREAMLINER,OMAHA,NE,https://www.upcu.org
319,2263,FIRST NRV,Radford,VA,http://www.firstnrvcreditunion.com
320,2275,KAHUKU,Kahuku,HI,http://WWW.KAHUKUFCU.COM
321,2280,HAMAKUA,Pepeekeo,HI,https://www.hamakuafcu.org
322,2285,ADVANCIAL,Dallas,TX,http://www.Advancial.org
323,2299,GSA,Washington,DC,http://www.gsafcu.gsa.gov
324,2301,WINTHROP AREA,WINTHROP,ME,http://WWW.WINTHROPCREDITUNION.ORG
325,2322,TEXASGULF,Wharton,TX,http://www.texasgulffcu.org
326,2346,EDUCATIONAL AND GOVERNMENTAL,Hartsdale,NY,http://www.egefcu.com
327,2348,GAF LINDEN EMPLOYEES,Parsippany,NJ,http://www.gafcreditunion.org
328,2357,HOUSTON POLICE,Houston,TX,http://www.hpcu.coop
329,2370,METROPOLITAN \L\,Oak Park,IL,http://www.metlfcu.com
330,2374,HONEYWELL PHILADELPHIA DIV,Ft Washington,PA,http://www.honeywellfcu.com
331,2384,UNIVERSITY OF NEBRASKA,Lincoln,NE,http://www.nufcu.org
332,2394,NEW BRUNSWICK POSTAL,Edison,NJ,http://nbpostalfcu.org
333,2403,HAWAII,Honolulu,HI,http://www.hawaiifcu.org
334,2405,G.A.P.,JOHNSTOWN,PA,http://www.gapfcu.org
335,2414,ROBERTS DAIRY EMPLOYEES,OMAHA,NE,http://www.robertsdairyefcu.org
336,2440,FIRST NEW YORK,Albany,NY,http://www.firstnewyork.org
337,2441,AMOCO,TEXAS CITY,TX,https://www.amocofcu.org
338,2442,GULF SHORE,Texas City,TX,http://www.gulfshorefcu.org
339,2446,INTERNAL REVENUE,NEW ORLEANS,LA,http://www.irfcuno.com
340,2454,FIRST OHIO COMMUNITY,North Canton,OH,HTTP://WWW.FIRSTOHIOCFCU.ORG
341,2460,PRESCOTT,PRESCOTT,AZ,http://www.prescottfcu.org
342,2467,NORTHSIDE L,Broadview,IL,http://www.nslfcu.com
343,2493,JERSEY CENTRAL,CRANFORD,NJ,http://www.jerseycentralfcu.com
344,2495,CHICAGO AVENUE GARAGE,Chicago,IL,http://www.cagfcu.org
345,2498,CTA-74TH STREET DEPOT,Chicago,IL,http://www.74thstdfcu.com
346,2505,77TH STREET DEPOT,Chicago,IL,http://www.77thstreetdepotfcu.org
347,2507,OMAHA PUBLIC POWER DIST EMP,Omaha,NE,http://www.oppd-efcu.org
348,2508,CROSSROADS COMMUNITY,CHEEKTOWAGA,NY,http://www.crcfcu.com
349,2535,CANTON SCHOOL EMPLOYEES,North Canton,OH,http://www.csefcu.com
350,2540,ABERDEEN PROVING GROUND,EDGEWOOD,MD,https://www.apgfcu.com
351,2551,POLICE & FIRE,Philadelphia,PA,http://www.pffcu.org
352,2554,ALCOA PITTSBURGH,Pittsburgh,PA,http://www.alcoapittfcu.org
353,2562,MAUI,KAHULUI,HI,https://www.mauifcu.com
354,2574,MEMBERS 1ST OF NJ,Vineland,NJ,http://www.membersonenj.org
355,2577,KAUAI TEACHERS,Lihue,HI,http://www.kauaiteachersfcu.org
356,2583,SAINT NICHOLAS,Wilkes Barre,PA,http://www.snfcu.org
